key,name,code,operationalScope,city,country,website,email,contactPhoneNumber
#base entity
airport-01,Lorem ipsum dolor sit ame,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
#name variations
airport-02,L,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-03,Lo,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-06,โลเร็ม อิปซัม,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-07,لوريم إيبسوم,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-08,洛伦·伊普森,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-09,<marquee>Hacked</marquee>,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-10,<script>alert(‘Hacked!’);</script>,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-11,' or 'A' = 'A,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
#code variations
airport-12,Lorem ipsum dolor sit ame,ABC,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-13,Lorem ipsum dolor sit ame,AXW,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
airport-14,Lorem ipsum dolor sit ame,YHN,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,passenger@mail.com,+441279358395
